Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
50,2628181025,EmceeDusty44 (11/150),0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez SS Carlos Correa 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki 2B Joe Panik OF Justin Upton,,Albert Pujols,1B,0.14%,0
50,2628575382,SCJR91,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez SS Carlos Correa 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki 2B Joe Panik OF Justin Upton,,Alejandro Kirk,C,0.11%,0
50,2628708285,markdawg5,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Justin Upton SS José Iglesias,,Ka'ai Tom,OF,0.11%,0
50,2628832998,mdb770 (132/150),0,145.85,P Cristian Javier P Griffin Canning OF Yordan Alvarez SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani OF Mark Canha 2B David Fletcher C Kurt Suzuki OF Myles Straw,,Vimael Machín,SS,0.11%,0
50,2628833125,GatorBait267,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Jared Walsh C Sean Murphy OF Justin Upton OF Myles Straw,,Brandon Bielak,P,0.11%,0
50,2628881352,TheHaba (2/150),0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Sean Murphy SS José Iglesias OF Myles Straw,,Julian Merryweather,P,0.08%,7.3
50,2628917550,TheLopper,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Shohei Ohtani 1B Mitch Moreland C Kurt Suzuki OF Dexter Fowler,,Ryan Pressly,P,0.08%,0
50,2628960467,douglas63,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Lourdes Gurriel Jr. C Jason Castro OF Dexter Fowler,,Chas McCormick,OF,0.08%,0
59,2628742105,becky0,0,145.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. SS Carlos Correa 3B Cavan Biggio 2B David Fletcher OF Ramón Laureano C Jason Castro OF Justin Upton,,Jacob Wilson,2B,0.07%,0
60,2628014835,mgelfand530 (5/25),0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 1B Vladimir Guerrero Jr. 3B Anthony Rendon C Kurt Suzuki 2B Joe Panik SS José Iglesias OF Myles Straw,,Aramis Garcia,C,0.06%,5
60,2628181040,EmceeDusty44 (26/150),0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Yuli Gurriel C Kurt Suzuki SS José Iglesias OF Dexter Fowler,,Jordan Romano,P,0.06%,0.3
60,2628181048,EmceeDusty44 (34/150),0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon SS Carlos Correa C Danny Jansen 2B Joe Panik OF Justin Upton OF Myles Straw,,Chris Rodriguez,P,0.06%,0
60,2628283875,Yooper247,0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 2B David Fletcher OF Kyle Tucker 1B Jared Walsh C Kurt Suzuki OF Dexter Fowler,,Cody Thomas,OF,0.06%,0
60,2628344729,bgeistusn (95/150),0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve 1B Matt Olson SS Carlos Correa 3B Cavan Biggio C Kurt Suzuki OF Justin Upton OF Dexter Fowler,,Tyler Soderstrom,C,0.04%,0
60,2628381400,theceez,0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Lourdes Gurriel Jr. C Sean Murphy OF Myles Straw,,Jack Kruger,C,0.04%,0
60,2628802184,sph24618 (62/150),0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Kyle Tucker 1B Mitch Moreland C Kurt Suzuki OF Myles Straw,,Jonathan Davis,OF,0.04%,0
60,2628836702,daksrus,0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 2B David Fletcher OF Kyle Tucker 1B Jared Walsh C Jason Castro OF Dexter Fowler,,T.J. Zeuch,P,0.04%,0
60,2628940188,GoodHandsF3,0,144.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Lourdes Gurriel Jr. C Sean Murphy OF Myles Straw,,Nick Allen,SS,0.04%,0
69,2628344660,bgeistusn (26/150),0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa OF Kyle Tucker C Jason Castro OF Justin Upton 1B Seth Brown,,Ryne Stanek,P,0.04%,5
69,2628344678,bgeistusn (44/150),0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Yuli Gurriel C Kurt Suzuki OF Justin Upton OF Myles Straw,,Reese McGuire,C,0.03%,0
69,2628491081,thoroughnut (10/150),0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa C Kurt Suzuki OF Dexter Fowler 1B Seth Brown,,Abraham Toro,3B,0.03%,0
69,2628867898,lazyplayr,0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Jared Walsh C Kurt Suzuki OF Myles Straw,,Luis Rengifo,2B,0.03%,0
69,2628909855,partyhardworkharder (120/150),0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Jared Walsh C Kurt Suzuki OF Myles Straw,,Alex De Goti,SS,0.03%,0
69,2628909859,partyhardworkharder (124/150),0,143.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa C Kurt Suzuki OF Dexter Fowler 1B Seth Brown,,Robel García,3B,0.03%,0
75,2627966430,Dubbzz (3/20),0,143.65,P Cristian Javier P Cole Irvin OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa OF Shohei Ohtani C Kurt Suzuki OF Dexter Fowler,,Pete Kozma,2B,0.03%,0
76,2628181024,EmceeDusty44 (10/150),0,143.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve OF Teoscar Hernández 3B Cavan Biggio C Kurt Suzuki OF Justin Upton SS José Iglesias,,Francisco Peña,C,0.03%,0
76,2628348661,arias1516 (5/5),0,143.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. OF Teoscar Hernández 3B Cavan Biggio 2B David Fletcher C Danny Jansen OF Justin Upton SS José Iglesias,,Richard Ureña,SS,0.01%,0
76,2628893708,bignutbuck,0,143.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve OF Michael Brantley 3B Cavan Biggio C Danny Jansen SS José Iglesias OF Dexter Fowler,,Joe Smith,P,0.01%,2.25
79,2627948992,chiefstigers (6/20),0,142.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki OF Justin Upton SS José Iglesias,,Garrett Stubbs,C,0.01%,0
79,2628163183,cflores435 (5/5),0,142.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Jason Castro OF Justin Upton OF Tony Kemp,,Leonardo Jimenez,2B,0.01%,0
